	2	-0.812
Amanhecer	5237	0.251245349937
American Pie	190	0.175022807018
Amor Perfeito	718	0.695050260313
Ana Hickmann	100	0.287971666667
Ana Rafaela	36	0.197881944444
Andrezinho	196	0.193936103013
André Lima	185	0.188381531532
Andy	838	0.148694311854
Angelis	5316	0.178405781289
Anjos	410	0.0772762195122
Argentina	773	0.150103320397
Argentina Loves Calypso	82	0.213469512195
Arin	61	0.215637704918
Arsenal	1711	0.16660960452
As Branquelas	104	0.25309775641
Ashley Tisdale	65	0.212523076923
Atividade Paranormal	276	-0.0677964975845
Atlético-GO 0x1 Santos	3	-0.0373333333333
Avril Lavigne Reason Of My Life	133	0.257386842105
Ayres Britto	4359	0.13541252854
BRAZIL LOVES DEMI	231	0.227375180375
Barack Obama	1588	0.337138937867
Barão Vermelho	823	0.228269137303
Barça	985	0.211920947547
Bayern	123	0.145281842818
Bears	944	0.176008474576
